oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,action_code,Check,action_code,B33,action_code,B66,action_code,B130,action_code,AI,flop
8.18798,0.50245,7.71186,0.49755,0.9876429583,0.9393738427,X,0.72834,R5.45,0.05672,R10.9,0.21494,R21.45,0,RAI,0,6h4d3h
8.27062,0.5014,7.62957,0.4986,0.9997002873,0.9273930538,X,0.59845,R5.45,0.00784,R10.9,0.39371,R21.45,0,RAI,0,6h4d3c
6.39716,0.46853,9.50294,0.53147,0.8274959352,1.083665621,X,0.25524,R5.45,0.13763,R10.9,0.60714,R21.45,0,RAI,0,6h4h4d
5.92952,0.46462,9.97047,0.53538,0.7734597324,1.128676694,X,0.17183,R5.45,0.23691,R10.9,0.59126,R21.45,0,RAI,0,6h4d4c
7.45207,0.49449,8.4481,0.50551,0.9133463216,1.012850574,X,0.70767,R5.45,0.28725,R10.9,0.00508,R21.45,0,RAI,0,6h5h2h
8.08449,0.50084,7.81527,0.49916,0.9782946092,0.9488996152,X,0.67072,R5.45,0.01287,R10.9,0.31641,R21.45,0,RAI,0,6h5d2h
8.14202,0.50158,7.75796,0.49842,0.983802726,0.9433397222,X,0.67662,R5.45,0.01063,R10.9,0.31275,R21.45,0,RAI,0,6h5h2d
8.08442,0.50105,7.81555,0.49895,0.9778761907,0.9493329664,X,0.67002,R5.45,0.01123,R10.9,0.31875,R21.45,0,RAI,0,6d5h2h
8.08943,0.49917,7.81163,0.50083,0.9821673395,0.9452950351,X,0.53134,R5.45,0.00563,R10.9,0.46289,R21.45,0.00014,RAI,0,6h5d2c
7.51811,0.49761,8.3818,0.50239,0.9156628998,1.011142406,X,0.70663,R5.45,0.28697,R10.9,0.0064,R21.45,0,RAI,0,6h5h3h
8.41027,0.50771,7.48973,0.49229,1.00394583,0.9220642958,X,0.82023,R5.45,0.03476,R10.9,0.1437,R21.45,0.0013,RAI,0,6h5h3d
8.33661,0.50648,7.56346,0.49352,0.9975697019,0.9288205447,X,0.79331,R5.45,0.05331,R10.9,0.15338,R21.45,0,RAI,0,6h5d3h
8.33779,0.50668,7.56205,0.49332,0.9973169776,0.9290238859,X,0.79773,R5.45,0.05452,R10.9,0.14776,R21.45,0,RAI,0,6d5h3h
8.4863,0.50581,7.41358,0.49419,1.016826907,0.9091804133,X,0.64226,R5.45,0.00791,R10.9,0.34983,R21.45,0,RAI,0,6h5d3c
7.99384,0.51018,7.90596,0.48982,0.9496161512,0.978214635,X,0.84541,R5.45,0.15055,R10.9,0.00404,R21.45,0,RAI,0,6h5h4h
9.00479,0.52188,6.89523,0.47812,1.045728706,0.8740331232,X,1,R5.45,0,R10.9,0,R21.45,0,RAI,0,6d5h4h
8.99167,0.52136,6.90836,0.47864,1.045246465,0.8747461428,X,1,R5.45,0,R10.9,0,R21.45,0,RAI,0,6h5h4d
8.95092,0.52023,6.94909,0.47977,1.042769566,0.8778309727,X,1,R5.45,0,R10.9,0,R21.45,0,RAI,0,6h5d4h
9.2852,0.52054,6.61483,0.47946,1.08106851,0.8361464733,X,1,R5.45,0,R10.9,0,R21.45,0,RAI,0,6h5d4c
6.8899,0.4718,9.0101,0.5282,0.885056613,1.03382567,X,0.28886,R5.45,0.27786,R10.9,0.43327,R21.45,0,RAI,0,6h5h5d
6.25506,0.46601,9.64502,0.53399,0.8134901694,1.094677073,X,0.18089,R5.45,0.30735,R10.9,0.51176,R21.45,0,RAI,0,6h5d5c
6.52396,0.47091,9.37596,0.52909,0.8396328626,1.073995038,X,0.29436,R5.45,0.21195,R10.9,0.49369,R21.45,0,RAI,0,6h6d2h
5.96652,0.46555,9.93343,0.53445,0.7767313035,1.126440359,X,0.19027,R5.45,0.28755,R10.9,0.52218,R21.45,0,RAI,0,6d6c2h
6.58273,0.47108,9.31749,0.52892,0.8468907995,1.067640374,X,0.29138,R5.45,0.20514,R10.9,0.50348,R21.45,0,RAI,0,6h6d3h
6.12007,0.46655,9.7799,0.53345,0.7950130491,1.111109156,X,0.20119,R5.45,0.29541,R10.9,0.5034,R21.45,0,RAI,0,6d6c3h
6.74736,0.47214,9.15278,0.52786,0.8661221475,1.050873203,X,0.31607,R5.45,0.20659,R10.9,0.47735,R21.45,0,RAI,0,6h6d4h
6.29246,0.46784,9.60749,0.53216,0.8151530894,1.094167381,X,0.21759,R5.45,0.29515,R10.9,0.48726,R21.45,0,RAI,0,6d6c4h
6.77525,0.47198,9.12458,0.52802,0.8699970439,1.047317992,X,0.29631,R5.45,0.27218,R10.9,0.43151,R21.45,0,RAI,0,6h6d5h
6.11213,0.46603,9.78784,0.53397,0.794867562,1.110928366,X,0.19523,R5.45,0.33986,R10.9,0.46491,R21.45,0,RAI,0,6d6c5h
2.98939,0.44004,12.9108,0.55996,0.4117242714,1.397376854,X,0,R5.45,0.92229,R10.9,0.0777,R21.45,0,RAI,0,6h6d6c
5.1418,0.46222,10.7581,0.53778,0.6741902755,1.212398527,X,0.13862,R5.45,0.19804,R10.9,0.66334,R21.45,0,RAI,0,7h2h2d
