oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R35,actions/3/action_code,R55,actions/4/action_code,R83,actions/5/action_code,AI,flop
24.4113,0.51947,10.2424,0.48053,1.333124787,0.8043343546,F,0.26116,C,0.73871,R24.15,0.00013,R32.95,0,R45.25,0,RAI,0,6h5h4h
22.6464,0.52688,12.0044,0.47312,1.219349843,0.9574697826,F,0.19179,C,0.76231,R24.15,0.03872,R32.95,0.00388,R45.25,0.00006,RAI,0.00324,6d5h4h
22.6382,0.52679,12.0091,0.47321,1.219118756,0.9576608533,F,0.1911,C,0.76128,R24.15,0.03574,R32.95,0.0031,R45.25,0.00017,RAI,0.0086,6h5h4d
22.6754,0.52746,11.9756,0.47254,1.21957099,0.9563435206,F,0.19017,C,0.76121,R24.15,0.0386,R32.95,0.00262,R45.25,0.0001,RAI,0.00731,6h5d4h
23.0798,0.53331,11.5691,0.46669,1.227700001,0.9354567498,F,0.15469,C,0.76946,R24.15,0.06148,R32.95,0.01432,R45.25,0.00005,RAI,0,6h5d4c
23.552,0.54125,11.0962,0.45875,1.234440131,0.9127526429,F,0.18731,C,0.76322,R24.15,0.04781,R32.95,0.00165,R45.25,0,RAI,0,6h5h5d
24.3279,0.54472,10.3216,0.45528,1.266984488,0.8555042461,F,0.15985,C,0.74674,R24.15,0.09313,R32.95,0.00027,R45.25,0,RAI,0,6h5d5c
24.7859,0.54453,9.86394,0.45547,1.291291575,0.8172309119,F,0.17658,C,0.77341,R24.15,0.04921,R32.95,0.0008,R45.25,0,RAI,0,6h6d2h
26.0257,0.54835,8.62559,0.45165,1.346432651,0.7206774694,F,0.14546,C,0.7366,R24.15,0.11775,R32.95,0.00019,R45.25,0,RAI,0,6d6c2h
24.6721,0.54485,9.97655,0.45515,1.284603719,0.8271417818,F,0.17842,C,0.76978,R24.15,0.05014,R32.95,0.00164,R45.25,0.00002,RAI,0,6h6d3h
25.7909,0.54861,8.85982,0.45139,1.333654533,0.7406740188,F,0.14902,C,0.73365,R24.15,0.11699,R32.95,0.00034,R45.25,0,RAI,0,6d6c3h
24.7158,0.54464,9.93529,0.45536,1.287379844,0.8233411373,F,0.1781,C,0.75374,R24.15,0.06777,R32.95,0.00039,R45.25,0,RAI,0,6h6d4h
25.7851,0.54771,8.86316,0.45229,1.335545998,0.7394788168,F,0.15256,C,0.71903,R24.15,0.12814,R32.95,0.00027,R45.25,0,RAI,0,6d6c4h
24.4952,0.54341,10.1561,0.45659,1.278777351,0.8393748992,F,0.18389,C,0.74303,R24.15,0.0726,R32.95,0.00048,R45.25,0,RAI,0,6h6d5h
25.6709,0.54838,8.9809,0.45162,1.328004417,0.7504137776,F,0.15782,C,0.70832,R24.15,0.13369,R32.95,0.00016,R45.25,0,RAI,0,6d6c5h
26.577,0.55263,8.07353,0.44737,1.364307325,0.6810057041,F,0.14664,C,0.73366,R24.15,0.1197,R32.95,0.00001,R45.25,0,RAI,0,6h6d6c
24.3787,0.54619,10.2702,0.45381,1.266216105,0.8539979985,F,0.17231,C,0.75337,R24.15,0.07393,R32.95,0.00039,R45.25,0.00001,RAI,0,7h2h2d
25.6204,0.55325,9.03245,0.44675,1.313728239,0.7629483394,F,0.13257,C,0.74646,R24.15,0.11961,R32.95,0.00136,R45.25,0,RAI,0,7h2d2c
24.0136,0.51417,10.6362,0.48583,1.324923154,0.8261418953,F,0.2551,C,0.7449,R24.15,0,R32.95,0,R45.25,0,RAI,0,7h3h2h
24.4408,0.54024,10.2121,0.45976,1.283423346,0.8381797045,F,0.16725,C,0.74628,R24.15,0.07425,R32.95,0.0086,R45.25,0.00084,RAI,0.00278,7h3d2h
24.3183,0.54011,10.333,0.45989,1.277299578,0.847866412,F,0.16667,C,0.75057,R24.15,0.07655,R32.95,0.00522,R45.25,0.00035,RAI,0.00064,7d3h2h
24.4352,0.54019,10.2172,0.45981,1.283245365,0.8385079513,F,0.16647,C,0.74663,R24.15,0.07312,R32.95,0.00907,R45.25,0.00104,RAI,0.00366,7h3h2d
25.4763,0.55294,9.17522,0.44706,1.307071075,0.7744703351,F,0.12791,C,0.74442,R24.15,0.09513,R32.95,0.03021,R45.25,0.00187,RAI,0.00045,7h3d2c
24.3906,0.54263,10.263,0.45737,1.275146536,0.8467600202,F,0.17477,C,0.73367,R24.15,0.09122,R32.95,0.00033,R45.25,0.00002,RAI,0,7h3h3d
25.7552,0.55038,8.89919,0.44962,1.327526966,0.7468940045,F,0.14017,C,0.7199,R24.15,0.13519,R32.95,0.00468,R45.25,0.00006,RAI,0,7h3d3c
24.0046,0.51632,10.6475,0.48368,1.31891603,0.830698086,F,0.25467,C,0.74533,R24.15,0,R32.95,0,R45.25,0,RAI,0,7h4h2h
24.4975,0.54079,10.1529,0.45921,1.285089748,0.8343212931,F,0.17132,C,0.73384,R24.15,0.08152,R32.95,0.0115,R45.25,0.0006,RAI,0.00122,7h4h2d
