oop_ev,oop_eq,ip_ev,ip_eq,oop_eqr,ip_eqr,actions/0/action_code,Fold,actions/1/action_code,Call,actions/2/action_code,R50,actions/3/action_code,R100,actions/4/action_code,R150,actions/5/action_code,AI,flop
1.61717,0.48461,7.08357,0.51539,0.6067371908,1.502087134,F,0.46472,C,0.38862,R10.05,0.14621,R16.45,0.00045,RAI,0,6d6c2h,,
1.61713,0.47962,7.08373,0.52038,0.6130345647,1.48771693,F,0.46819,C,0.39658,R10.05,0.13518,R16.45,0.00005,RAI,0,6h6d3h,,
1.60971,0.48512,7.09081,0.51488,0.6033033938,1.505111659,F,0.46583,C,0.39095,R10.05,0.14313,R16.45,0.00008,RAI,0,6d6c3h,,
1.61118,0.4805,7.09124,0.5195,0.6096603559,1.491816889,F,0.47023,C,0.39436,R10.05,0.13541,R16.45,0,RAI,0,6h6d4h,,
1.60093,0.48492,7.10102,0.51508,0.6002602085,1.506693682,F,0.47126,C,0.3868,R10.05,0.14154,R16.45,0.0004,RAI,0,6d6c4h,,
1.57968,0.48143,7.12105,0.51857,0.5965863008,1.50077484,F,0.46328,C,0.4144,R10.05,0.12199,R16.45,0.00033,RAI,0,6h6d5h,,
1.59436,0.48844,7.10551,0.51156,0.5934887215,1.518020293,F,0.46269,C,0.40552,R10.05,0.13163,R16.45,0.00016,RAI,0,6d6c5h,,
1.38347,0.45673,7.33311,0.54327,0.5507411516,1.475201618,F,0.50745,C,0.34363,R10.05,0.14874,R16.45,0.00019,RAI,0,6h6d6c,,
1.56008,0.46918,7.14176,0.53082,0.6045673851,1.470404632,F,0.46641,C,0.39931,R10.05,0.13384,R16.45,0.00044,RAI,0,7h2h2d,,
1.65493,0.47216,7.04331,0.52784,0.6372762527,1.458321929,F,0.45578,C,0.41297,R10.05,0.12883,R16.45,0.00241,RAI,0,7h2d2c,,
1.55012,0.46573,7.15058,0.53427,0.6051574783,1.462713913,F,0.46644,C,0.51663,R10.05,0.01691,R16.45,0.00002,RAI,0,7h3h2h,,
1.50477,0.47463,7.18629,0.52537,0.5764375489,1.494921406,F,0.43472,C,0.45258,R10.05,0.10854,R16.45,0.00416,RAI,0,7h3d2h,,
1.51147,0.47475,7.17921,0.52525,0.578857742,1.493789831,F,0.43427,C,0.45953,R10.05,0.10253,R16.45,0.00367,RAI,0,7d3h2h,,
1.50373,0.47399,7.18661,0.52601,0.5768169562,1.493169173,F,0.43367,C,0.45911,R10.05,0.10395,R16.45,0.00327,RAI,0,7h3h2d,,
1.55865,0.47504,7.12736,0.52496,0.5965622239,1.483820598,F,0.41996,C,0.48293,R10.05,0.09703,R16.45,0.00008,RAI,0,7h3d2c,,
1.52797,0.47624,7.17314,0.52376,0.5833460315,1.496772761,F,0.46453,C,0.39432,R10.05,0.14115,R16.45,0,RAI,0,7h3h3d,,
1.60844,0.48189,7.08902,0.51811,0.6068680574,1.495350975,F,0.45436,C,0.40483,R10.05,0.1404,R16.45,0.00041,RAI,0,7h3d3c,,
1.57576,0.46784,7.12641,0.53216,0.6123927581,1.463549773,F,0.47227,C,0.50639,R10.05,0.01924,R16.45,0.0018,RAI,0.00029,7h4h2h,,
1.51958,0.47499,7.17634,0.52501,0.5816696519,1.493875317,F,0.44893,C,0.41373,R10.05,0.13403,R16.45,0.00332,RAI,0,7h4h2d,,
1.52709,0.47439,7.16813,0.52561,0.5852836669,1.490462763,F,0.44754,C,0.42137,R10.05,0.12911,R16.45,0.00199,RAI,0,7d4h2h,,
1.52037,0.47402,7.1742,0.52598,0.5831629631,1.490675665,F,0.44745,C,0.41688,R10.05,0.1321,R16.45,0.00356,RAI,0,7h4d2h,,
1.55754,0.47454,7.13062,0.52546,0.5967655087,1.483086677,F,0.42909,C,0.45701,R10.05,0.11123,R16.45,0.00267,RAI,0,7h4d2c,,
1.59849,0.47212,7.09943,0.52788,0.6155946654,1.469830225,F,0.46619,C,0.50774,R10.05,0.02265,R16.45,0.00229,RAI,0.00113,7h4h3h,,
1.49303,0.47825,7.20158,0.52175,0.5676110675,1.508496347,F,0.44749,C,0.42596,R10.05,0.12138,R16.45,0.00517,RAI,0,7d4h3h,,
1.48834,0.47869,7.20739,0.52131,0.5653079808,1.510987551,F,0.44944,C,0.41076,R10.05,0.13437,R16.45,0.00542,RAI,0.00001,7h4h3d,,
1.48313,0.47749,7.21254,0.52251,0.5647447938,1.508594603,F,0.44927,C,0.41464,R10.05,0.13048,R16.45,0.0056,RAI,0.00001,7h4d3h,,
1.52839,0.48284,7.15842,0.51716,0.5755304015,1.512763933,F,0.42531,C,0.46718,R10.05,0.09879,R16.45,0.00871,RAI,0,7h4d3c,,
1.57953,0.47588,7.12577,0.52412,0.6034867501,1.48586722,F,0.47385,C,0.38734,R10.05,0.13876,R16.45,0.00005,RAI,0,7h4h4d,,
1.57098,0.48059,7.1309,0.51941,0.5943376415,1.500420288,F,0.4693,C,0.39388,R10.05,0.13668,R16.45,0.00014,RAI,0,7h4d4c,,
1.57021,0.46773,7.12768,0.53227,0.6103793478,1.463507958,F,0.46791,C,0.50986,R10.05,0.0209,R16.45,0.00128,RAI,0.00004,7h5h2h,,
1.51325,0.4769,7.18144,0.5231,0.5769267266,1.500395315,F,0.44465,C,0.41933,R10.05,0.13207,R16.45,0.00396,RAI,0,7d5h2h,,
1.50517,0.47624,7.18947,0.52376,0.5746414944,1.500180187,F,0.44554,C,0.413,R10.05,0.13772,R16.45,0.00374,RAI,0,7h5d2h,,
1.50708,0.47715,7.18745,0.52285,0.5742733771,1.502369108,F,0.44542,C,0.41621,R10.05,0.13378,R16.45,0.0046,RAI,0,7h5h2d,,
1.54287,0.47912,7.14432,0.52088,0.5854938937,1.499001738,F,0.42515,C,0.45477,R10.05,0.11649,R16.45,0.00359,RAI,0,7h5d2c,,
1.63368,0.47576,7.06404,0.52424,0.6243331022,1.47265799,F,0.46321,C,0.50179,R10.05,0.03347,R16.45,0.00142,RAI,0.0001,7h5h3h,,
